B0 ,SETUPCMD,1,0,1,1,0,0,0,0,
1,1,PUREN,-,FORCE_DISPON,WP_PN,-,-,-,OSC _EN ,0x90
2,2,-,-,-,-,-,-,D[1:0],,0x00
3,3,VGL_S1_EN,VGL_S1_WPEN,VGL_S2_EN,VGH_S1_EN,VGH_S1_WPEN,VGH_S2_EN,VGH_S2_WPEN,VGH_S3_EN,0x00
4,4,-,-,VSN_EN,VSP_EN,VGL_EN,-,VGH_EN,STB,0x01
B1 ,SETAPPLEID,1,0,1,1,0,0,0,1,
1,1,APPLE_ID1[7:0],,,,,,,,BY OTP
2,2,APPLE_ID2[7:0],,,,,,,,BY OTP
3,3,APPLE_ID3[7:0],,,,,,,,BY OTP
4,4,APPLE_ID4[7:0],,,,,,,,BY OTP
5,5,APPLE_ID5[7:0],,,,,,,,BY OTP
6,6,APPLE_ID6[7:0],,,,,,,,BY OTP
7,7,APPLE_ID7[7:0],,,,,,,,BY OTP
8,8,APPLE_ID8[7:0],,,,,,,,BY OTP
9,9,APPLE_ID9[7:0],,,,,,,,BY OTP
A,10,APPLE_ID10[7:0],,,,,,,,BY OTP
B,11,APPLE_ID11[7:0],,,,,,,,BY OTP
C,12,APPLE_ID12[7:0],,,,,,,,BY OTP
D,13,APPLE_ID13[7:0],,,,,,,,BY OTP
E,14,APPLE_ID14[7:0],,,,,,,,BY OTP
F,15,APPLE_ID15[7:0],,,,,,,,BY OTP
B2 ,SETDISP ,1,0,1,1,0,0,1,0,
1,1,NL[7:0],,,,,,,,0xC8
2,2,RES_V_LSB[1:0],,BLK_CON[1:0],,-,RESO_SEL[2:0],,,0x02
3,3,WHITE_GND_EN,WHITE_FRAME_SEL[2:0],,,-,ISC[2:0],,,0xA0
4,4,LINE_MIN[9:2],,,,,,,,
5,5,LINE_MAX[9:2],,,,,,,,
6,6,-,-,-,-,LINE_MIN[1:0],,LINE_MAX[1:0],,
B3,SETRGBIF ,1,0,1,1,0,0,1,1,
1,1,VBP_RGB_GEN[7:0],,,,,,,,0x28
2,2,VFP_RGB_GEN[7:0],,,,,,,,0x28
3,3,DE_BP_RGB_GEN[7:0],,,,,,,,0x28
4,4,DE_FP_RGB_GEN[7:0],,,,,,,,0x28
5,5,-,-,-,TEST_PAT[4:0],,,,,0x03
6,6,PURE_PAT[7:0],,,,,,,,0xFF
7,7,-,-,-,-,-,-,HBASE_CUST[9:8],,0x00
8,8,HBASE_CUST[7:0],,,,,,,,0x00
9,9,VBASE_CUST[7:0],,,,,,,,0x00
A,10,PAT_GEN_EN[7:0],,,,,,,,0x00
B4,SETCYC ,1,0,1,1,0,1,0,0,
1,1,ZINV_S2401_EN,ZINV_G_EVEN_EN,ZINV_EN,ZINV2_EN,-,N_NW[2:0],,,0x80
2,2,-,-,OP_DLY[1:0],,-,I_NW[2:0],,,0x00
B5,SETBGP,1,0,1,1,0,1,0,1,
1,1,-,-,-,VREF_SEL[4:0] ,,,,,0x09
2,2,-,-,-,NVREF_SEL[4:0],,,,,0x09
3,3,-,-,-,-,VTRIM_SHIFT[3:0],,,,0x00
4,4,-,-,-,-,NVTRIM_SHIFT[3:0],,,,0x00
5,5,-,-,VTRIM_REG[5:0],,,,,,0x20
6,6,-,-,NVTRIM_REG[5:0],,,,,,0x20
7,7,-,-,-,TEMP_TRIM_I[4:0],,,,,0x10
8,8,-,-,-,TEMP_TRIM_R[4:0],,,,,0x10
B6,SETCOM,1,0,1,1,0,1,1,0,
1,1,VCOMDC_F[7:0],,,,,,,,0x4D
2,2,VCOMDC_B[7:0],,,,,,,,0x4D
3,3,-,-,-,-,-,VCOM_OTP_TIMES[2:0],,,0x00
B7,SETOTP,1,0,1,1,0,1,1,1,
1,1,OTP_KEY[7:0],,,,,,,,0xFF
2,2,OTP_MASK[7:0],,,,,,,,0x00
3,3,PSRR_VPP,VPPSEL[2:0],,,-,-,-,OTP_INDEX[8],0x30
4,4,OTP_INDEX[7:0],,,,,,,,0x00
5,5,Load_DIS,VPP_EN,OTP_SEL,OTP_PWE,OTP_PTM[1:0],,OTP_POR,OTP_PORG,0x00
6,6,OTP_DATA[7:0],,,,,,,,BY OTP OUT
7,7,OTP_PT[2:0],,,OTP_ST[2:0],,,OTP_BIT[1:0],,0x4E
B8,SET POWER_EXT,1,0,1,1,1,0,0,0,
